source_file;Project;Test;Result_index;Result;Interval;expected_points;Point No.;Time [min];Temperature [°C];Storage Modulus [Pa];Loss Modulus [Pa];Loss Factor [1];Complex Viscosity [Pa·s];Gap [mm];Normal Force [N];Torque [µN·m];Status;Test Time [s]
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;305;50.8;37.0;3841.0;8.4413;0.0022;611.32;0.102;;1253.6;;3062.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;306;51.0;37.0;3856.7;8.1587;0.00212;613.81;0.102;;1257.9;;3072.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;307;51.2;37.0;3864.6;13.372;0.00346;615.08;0.102;;1262.8;;3082.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;308;51.3;37.0;3880.9;11.342;0.00292;617.66;0.102;;1266.4;;3092.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;309;51.5;37.0;3902.0;7.6687;0.00197;621.03;0.102;;1271.7;;3102.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;310;51.7;37.0;3916.2;5.6188;0.00143;623.29;0.102;;1277.4;;3112.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;311;51.8;37.0;3921.4;7.1358;0.00182;624.12;0.102;;1280.8;;3122.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;312;52.0;37.0;3922.8;14.9;0.0038;624.34;0.102;;1283.2;;3132.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;313;52.2;37.0;3945.7;9.599;0.00243;627.98;0.102;;1286.6;;3142.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;314;52.3;37.0;3953.1;15.304;0.00387;629.16;0.102;;1292.0;;3152.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;315;52.5;37.0;3975.2;8.3552;0.0021;632.67;0.102;;1295.9;;3162.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;316;52.7;37.0;3997.2;3.4221;0.000856;636.17;0.102;;1301.6;;3172.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;317;52.8;37.0;3996.4;13.704;0.00343;636.05;0.102;;1306.4;;3182.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;318;53.0;37.0;4015.5;11.078;0.00276;639.09;0.102;;1310.2;;3192.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;319;53.2;37.0;4035.5;7.0174;0.00174;642.27;0.102;;1315.5;;3202.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;320;53.3;37.0;4048.2;7.7713;0.00192;644.29;0.102;;1321.0;;3212.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;321;53.5;37.0;4057.1;13.739;0.00339;645.72;0.102;;1324.9;;3222.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;322;53.7;37.0;4065.1;16.566;0.00408;646.99;0.102;;1328.9;;3232.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;323;53.8;37.0;4087.5;12.278;0.003;650.54;0.102;;1333.4;;3242.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;324;54.0;37.0;4107.1;8.4449;0.00206;653.67;0.102;;1338.9;;3252.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;325;54.2;37.0;4114.4;14.312;0.00348;654.82;0.102;;1343.8;;3262.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;326;54.3;37.0;4135.0;10.148;0.00245;658.1;0.102;;1348.6;;3272.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;327;54.5;37.0;4145.2;12.796;0.00309;659.73;0.102;;1353.8;;3282.0
