source_file;Project;Test;Result_index;Result;Interval;expected_points;Point No.;Time [min];Temperature [°C];Storage Modulus [Pa];Loss Modulus [Pa];Loss Factor [1];Complex Viscosity [Pa·s];Gap [mm];Normal Force [N];Torque [µN·m];Status;Test Time [s]
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;526;87.7;37.0;6811.8;267.18;0.0392;1085.0;0.102;;2229.1;;5272.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;527;87.8;37.0;6825.4;265.92;0.039;1087.1;0.102;;2231.8;;5282.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;528;88.0;37.0;6833.0;273.65;0.04;1088.4;0.102;;2235.9;;5292.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;529;88.2;37.0;6848.5;278.34;0.0406;1090.9;0.102;;2239.8;;5302.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;530;88.3;37.0;6862.8;281.89;0.0411;1093.2;0.102;;2245.2;;5312.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;531;88.5;37.0;6879.9;284.05;0.0413;1095.9;0.102;;2249.7;;5322.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;532;88.7;37.0;6902.7;284.23;0.0412;1099.5;0.102;;2254.3;;5332.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;533;88.8;37.0;6902.4;297.58;0.0431;1099.6;0.102;;2260.7;;5342.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;534;89.0;37.0;6917.8;299.05;0.0432;1102.0;0.102;;2263.6;;5352.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;535;89.2;37.0;6934.1;302.87;0.0437;1104.6;0.102;;2267.9;;5362.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;536;89.3;37.0;6952.2;307.14;0.0442;1107.6;0.102;;2273.4;;5372.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;537;89.5;37.0;6971.5;306.77;0.044;1110.6;0.102;;2278.2;;5382.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;538;89.7;37.0;6978.5;314.02;0.045;1111.8;0.102;;2283.3;;5392.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;539;89.8;37.0;6990.1;321.63;0.046;1113.7;0.102;;2287.6;;5402.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;540;90.0;37.0;7000.3;328.48;0.0469;1115.4;0.102;;2291.2;;5412.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;541;90.2;37.0;7019.1;328.54;0.0468;1118.4;0.102;;2296.2;;5422.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;542;90.3;37.0;7041.2;329.95;0.0469;1121.9;0.102;;2301.4;;5432.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;543;90.5;37.0;7035.1;338.48;0.0481;1121.0;0.102;;2306.0;;5442.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;544;90.7;37.0;7053.6;338.98;0.0481;1123.9;0.102;;2305.3;;5452.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;545;90.8;37.0;7063.6;346.58;0.0491;1125.6;0.102;;2311.3;;5462.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;546;91.0;37.0;6977.2;420.11;0.0602;1112.5;0.102;;2286.7;;5472.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;547;91.2;37.0;7035.3;492.61;0.07;1122.5;0.102;;2295.2;;5482.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;548;91.3;37.0;7086.0;542.72;0.0766;1131.1;0.102;;2314.9;;5492.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;549;91.5;37.0;6952.5;583.43;0.0839;1110.4;0.102;;2312.4;;5502.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;550;91.7;37.0;6955.8;614.67;0.0884;1111.4;0.102;;2281.6;;5512.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;551;91.8;37.0;6971.1;656.54;0.0942;1114.4;0.102;;2287.3;;5522.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;552;92.0;37.0;6988.2;691.35;0.0989;1117.6;0.102;;2293.0;;5532.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;553;92.2;37.0;7013.1;708.16;0.101;1121.8;0.102;;2300.2;;5542.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;554;92.3;37.0;7014.8;740.35;0.106;1122.6;0.102;;2307.4;;5552.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;555;92.5;37.0;5762.1;794.81;0.138;925.75;0.102;;2282.4;WMa;5562.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;556;92.7;37.0;5566.6;788.19;0.142;894.79;0.102;;1811.3;WMa;5572.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;557;92.8;37.0;5570.0;833.74;0.15;896.37;0.102;;1839.0;;5582.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;558;93.0;37.0;5586.7;859.38;0.154;899.6;0.102;;1845.1;;5592.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;559;93.2;37.0;5608.6;883.31;0.157;903.64;0.102;;1853.3;;5602.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;560;93.3;37.0;5622.3;928.83;0.165;906.95;0.102;;1857.3;;5612.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;561;93.5;37.0;5649.1;964.09;0.171;912.09;0.102;;1867.8;;5622.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;562;93.7;37.0;5682.0;993.24;0.175;918.03;0.102;;1880.2;;5632.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;563;93.8;37.0;5707.7;1021.9;0.179;922.85;0.102;;1891.6;;5642.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;564;94.0;37.0;5748.1;1048.9;0.182;929.94;0.102;;1902.9;;5652.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;565;94.2;37.0;5783.1;1077.1;0.186;936.24;0.102;;1916.4;;5662.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;566;94.3;37.0;5819.6;1105.7;0.19;942.78;0.102;;1928.9;;5672.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;567;94.5;37.0;5850.4;1136.7;0.194;948.53;0.102;;1942.7;;5682.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;568;94.7;37.0;5895.2;1166.3;0.198;956.44;0.102;;1955.4;;5692.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;569;94.8;37.0;5928.6;1201.2;0.203;962.74;0.102;;1971.4;;5702.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;570;95.0;37.0;5969.9;1233.1;0.207;970.21;0.102;;1985.4;;5712.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;571;95.2;37.0;6007.3;1262.6;0.21;976.98;0.102;;2000.5;;5722.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;572;95.3;37.0;6045.6;1294.9;0.214;984.02;0.102;;2014.3;;5732.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;573;95.5;37.0;6097.9;1325.0;0.217;993.16;0.102;;2030.4;;5742.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;574;95.7;37.0;6137.1;1357.1;0.221;1000.4;0.102;;2046.4;;5752.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;575;95.8;37.0;6178.8;1387.4;0.225;1007.9;0.102;;2062.1;;5762.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;576;96.0;37.0;6221.0;1417.8;0.228;1015.5;0.102;;2077.9;;5772.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;577;96.2;37.0;6259.5;1446.6;0.231;1022.5;0.102;;2093.9;;5782.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;578;96.3;37.0;6311.3;1472.4;0.233;1031.5;0.102;;2108.9;;5792.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;579;96.5;37.0;6349.6;1500.5;0.236;1038.4;0.102;;2125.3;;5802.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;580;96.7;37.0;6386.9;1526.2;0.239;1045.1;0.102;;2139.6;;5812.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;581;96.8;37.0;6425.2;1552.5;0.242;1052.0;0.102;;2153.9;;5822.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;582;97.0;37.0;6469.1;1577.5;0.244;1059.8;0.102;;2168.2;;5832.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;583;97.2;37.0;6507.2;1604.3;0.247;1066.7;0.102;;2184.0;;5842.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;584;97.3;37.0;6545.4;1628.8;0.249;1073.5;0.102;;2198.5;;5852.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;585;97.5;37.0;6586.0;1651.9;0.251;1080.7;0.102;;2212.1;;5862.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;586;97.7;37.0;6613.8;1675.2;0.253;1085.9;0.102;;2225.4;;5872.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;587;97.8;37.0;6660.7;1698.0;0.255;1094.0;0.102;;2238.2;;5882.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;588;98.0;37.0;6688.1;1719.2;0.257;1099.1;0.102;;2252.1;;5892.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;589;98.2;37.0;6738.6;1741.2;0.258;1107.7;0.102;;2265.1;;5902.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;590;98.3;37.0;6764.3;1764.7;0.261;1112.6;0.102;;2280.0;;5912.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;591;98.5;37.0;6803.0;1786.1;0.263;1119.4;0.102;;2292.7;;5922.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;592;98.7;37.0;6834.0;1808.8;0.265;1125.1;0.102;;2306.7;;5932.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;593;98.8;37.0;6876.3;1828.0;0.266;1132.4;0.102;;2317.7;;5942.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;594;99.0;37.0;6896.6;1847.7;0.268;1136.3;0.102;;2331.2;;5952.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;595;99.2;37.0;6941.1;1868.5;0.269;1144.0;0.102;;2342.9;;5962.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;596;99.3;37.0;6967.2;1887.0;0.271;1148.8;0.102;;2354.9;;5972.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;597;99.5;37.0;7007.8;1909.0;0.272;1156.0;0.102;;2367.3;;5982.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;598;99.7;37.0;7044.6;1929.4;0.274;1162.5;0.102;;2380.1;;5992.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;599;99.8;37.0;7067.3;1948.0;0.276;1166.7;0.102;;2392.8;;6002.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;600;100.0;37.0;7107.6;1968.4;0.277;1173.8;0.102;;2404.5;;6012.0
